Variable,m1,m2,m3,m4,m5,m6
OB1,,,,,,
OB2,,,,,,
OB3,,,,,,
S1.50,,,,,,
S2.50,,,,,,
S3.50,,,,,,
S1.25,1,,,,,
S2.25,1,,,,,
S3.25,1,,,,,
Mrange.25,1,,,,,
Mrange.50,,,,,,
B,,,,,,
TB,,,,,,
T,1,,,,,
M,1,,,,,
A,1,,,,,
C,1,,,,,
N,1,,,,,
N2,1,,,,,
D,1,,,,,
F,1,,,,,
J,1,,,,,
S1,,,,,,
S2,,,,,,
S3,,,,,,
H1,,,,,,
H2,,,,,,
F1,1,,,,,
F2,1,,,,,
W,,,,,,
LT1,,,,,,
LT2,1,,,,,
LT3,,,,,,
LA,,,,,,
S41,,,,,,
S42,,,,,,
S43,,,,,,
S44,,,,,,
S45,,,,,,
S1.WS,,,,,,
S2.WS,,,,,,
S3.WS,,,,,,
Sn.1,,,,,,
Sn.2,,,,,,
Sn.3,,,,,,
Sn.4,1,,,,,
Sn.5,,,,,,
Sn.6,1,,,,,
Sn.7,1,,,,,
Sn.8,,,,,,
Sn.9,1,,,,,
HIX_2002,1,,,,,
FI_2005,,,,,,
FI_2001,1,,,,,
FreshI,1,,,,,
A254,1,,,,,
A275,1,,,,,
A280,1,,,,,
A290,1,,,,,
A295,,,,,,
A350,1,,,,,
A370,,,,,,
A400,,,,,,
Sag240_255,1,,,,,
Sag275_290,1,,,,,
Sag290_350,1,,,,,
Sag300_340,1,,,,,
Sag350_400,1,,,,,
Sag250_295,1,,,,,
Aresid269,1,,,,,
rA275_A254,,,,,,
rA280_A254,,,,,,
rA290_A254,,,,,,
rA295_A254,,,,,,
rA350_A254,,,,,,
rA370_A254,,,,,,
rA400_A254,,,,,,
rA280_A275,,,,,,
rA290_A275,,,,,,
rA295_A275,,,,,,
rA350_A275,,,,,,
rA370_A275,,,,,,
rA400_A275,,,,,,
rA290_A280,,,,,,
rA295_A280,,,,,,
rA350_A280,,,,,,
rA370_A280,,,,,,
rA400_A280,,,,,,
rA295_A290,,,,,,
rA350_A290,,,,,,
rA370_A290,,,,,,
rA400_A290,,,,,,
rA350_A295,,,,,,
rA370_A295,,,,,,
rA400_A295,,,,,,
rA370_A350,,,,,,
rA400_A350,,,,,,
rA400_A370,,,,,,
rSag275_290_Sag240_255,1,,,,,
rSag290_350_Sag240_255,,,,,,
rSag300_340_Sag240_255,,,,,,
rSag350_400_Sag240_255,,,,,,
rSag250_295_Sag240_255,,,,,,
rSag290_350_Sag275_290,,,,,,
rSag300_340_Sag275_290,1,,,,,
rSag350_400_Sag275_290,,,,,,
rSag250_295_Sag275_290,,,,,,
rSag300_340_Sag290_350,,,,,,
rSag350_400_Sag290_350,,,,,,
rSag250_295_Sag290_350,1,,,,,
rSag350_400_Sag300_340,,,,,,
rSag250_295_Sag300_340,,,,,,
rSag250_295_Sag350_400,,,,,,
rS2.25_S1.25,1,,,,,
rS3.25_S1.25,1,,,,,
rMrange.25_S1.25,,,,,,
rMrange.50_S1.25,,,,,,
rB_S1.25,,,,,,
rT_S1.25,1,,,,,
rTB_S1.25,,,,,,
rM_S1.25,1,,,,,
rA_S1.25,1,,,,,
rN_S1.25,1,,,,,
rN2_S1.25,,,,,,
rF_S1.25,1,,,,,
rH2_S1.25,,,,,,
rW_S1.25,,,,,,
rS41_S1.25,,,,,,
rS42_S1.25,,,,,,
rS43_S1.25,,,,,,
rS44_S1.25,,,,,,
rS45_S1.25,,,,,,
rS3.25_S2.25,1,,,,,
rMrange.25_S2.25,,,,,,
rMrange.50_S2.25,,,,,,
rB_S2.25,1,,,,,
rT_S2.25,1,,,,,
rTB_S2.25,,,,,,
rM_S2.25,1,,,,,
rA_S2.25,1,,,,,
rN_S2.25,1,,,,,
rN2_S2.25,,,,,,
rF_S2.25,1,,,,,
rH2_S2.25,,,,,,
rW_S2.25,,,,,,
rS41_S2.25,,,,,,
rS42_S2.25,,,,,,
rS43_S2.25,,,,,,
rS44_S2.25,,,,,,
rS45_S2.25,,,,,,
rMrange.25_S3.25,,,,,,
rMrange.50_S3.25,,,,,,
rB_S3.25,,,,,,
rT_S3.25,1,,,,,
rTB_S3.25,,,,,,
rM_S3.25,1,,,,,
rA_S3.25,1,,,,,
rN_S3.25,1,,,,,
rN2_S3.25,,,,,,
rF_S3.25,1,,,,,
rH2_S3.25,,,,,,
rW_S3.25,,,,,,
rS41_S3.25,,,,,,
rS42_S3.25,,,,,,
rS43_S3.25,,,,,,
rS44_S3.25,,,,,,
rS45_S3.25,,,,,,
rMrange.50_Mrange.25,,,,,,
rB_Mrange.25,,,,,,
rT_Mrange.25,,,,,,
rTB_Mrange.25,,,,,,
rM_Mrange.25,,,,,,
rA_Mrange.25,,,,,,
rN_Mrange.25,,,,,,
rN2_Mrange.25,,,,,,
rF_Mrange.25,,,,,,
rH2_Mrange.25,,,,,,
rW_Mrange.25,,,,,,
rS41_Mrange.25,,,,,,
rS42_Mrange.25,,,,,,
rS43_Mrange.25,,,,,,
rS44_Mrange.25,,,,,,
rS45_Mrange.25,,,,,,
rB_Mrange.50,,,,,,
rT_Mrange.50,,,,,,
rTB_Mrange.50,,,,,,
rM_Mrange.50,,,,,,
rA_Mrange.50,,,,,,
rN_Mrange.50,,,,,,
rN2_Mrange.50,,,,,,
rF_Mrange.50,,,,,,
rH2_Mrange.50,,,,,,
rW_Mrange.50,,,,,,
rS41_Mrange.50,,,,,,
rS42_Mrange.50,,,,,,
rS43_Mrange.50,,,,,,
rS44_Mrange.50,,,,,,
rS45_Mrange.50,,,,,,
rT_B,,,,,,
rTB_B,,,,,,
rM_B,,,,,,
rA_B,,,,,,
rN_B,,,,,,
rN2_B,,,,,,
rF_B,,,,,,
rH2_B,,,,,,
rW_B,,,,,,
rS41_B,,,,,,
rS42_B,,,,,,
rS43_B,,,,,,
rS44_B,,,,,,
rS45_B,,,,,,
rTB_T,,,,,,
rM_T,1,,,,,
rA_T,1,,,,,
rN_T,1,,,,,
rN2_T,,,,,,
rF_T,1,,,,,
rH2_T,,,,,,
rW_T,,,,,,
rS41_T,,,,,,
rS42_T,,,,,,
rS43_T,,,,,,
rS44_T,,,,,,
rS45_T,,,,,,
rM_TB,,,,,,
rA_TB,,,,,,
rN_TB,,,,,,
rN2_TB,,,,,,
rF_TB,,,,,,
rH2_TB,,,,,,
rW_TB,,,,,,
rS41_TB,,,,,,
rS42_TB,,,,,,
rS43_TB,,,,,,
rS44_TB,,,,,,
rS45_TB,,,,,,
rA_M,1,,,,,
rN_M,1,,,,,
rN2_M,,,,,,
rF_M,1,,,,,
rH2_M,,,,,,
rW_M,,,,,,
rS41_M,,,,,,
rS42_M,,,,,,
rS43_M,,,,,,
rS44_M,,,,,,
rS45_M,,,,,,
rN_A,1,,,,,
rN2_A,,,,,,
rF_A,1,,,,,
rH2_A,,,,,,
rW_A,,,,,,
rS41_A,,,,,,
rS42_A,,,,,,
rS43_A,,,,,,
rS44_A,,,,,,
rS45_A,,,,,,
rN2_N,,,,,,
rF_N,1,,,,,
rH2_N,,,,,,
rW_N,,,,,,
rS41_N,,,,,,
rS42_N,,,,,,
rS43_N,,,,,,
rS44_N,,,,,,
rS45_N,,,,,,
rF_N2,,,,,,
rH2_N2,,,,,,
rW_N2,,,,,,
rS41_N2,,,,,,
rS42_N2,,,,,,
rS43_N2,,,,,,
rS44_N2,,,,,,
rS45_N2,,,,,,
rH2_F,,,,,,
rW_F,,,,,,
rS41_F,,,,,,
rS42_F,,,,,,
rS43_F,,,,,,
rS44_F,,,,,,
rS45_F,,,,,,
rW_H2,,,,,,
rS41_H2,,,,,,
rS42_H2,,,,,,
rS43_H2,,,,,,
rS44_H2,,,,,,
rS45_H2,,,,,,
rS41_W,,,,,,
rS42_W,,,,,,
rS43_W,,,,,,
rS44_W,,,,,,
rS45_W,,,,,,
rS42_S41,,,,,,
rS43_S41,,,,,,
rS44_S41,,,,,,
rS45_S41,,,,,,
rS43_S42,,,,,,
rS44_S42,,,,,,
rS45_S42,,,,,,
rS44_S43,,,,,,
rS45_S43,,,,,,
rS45_S44,,,,,,
rSn.2_Sn.1,,,,,,
rSn.3_Sn.1,,,,,,
rSn.4_Sn.1,,,,,,
rSn.5_Sn.1,,,,,,
rSn.6_Sn.1,,,,,,
rSn.7_Sn.1,,,,,,
rSn.8_Sn.1,,,,,,
rSn.9_Sn.1,,,,,,
rSn.3_Sn.2,,,,,,
rSn.4_Sn.2,,,,,,
rSn.5_Sn.2,,,,,,
rSn.6_Sn.2,,,,,,
rSn.7_Sn.2,,,,,,
rSn.8_Sn.2,,,,,,
rSn.9_Sn.2,,,,,,
rSn.4_Sn.3,,,,,,
rSn.5_Sn.3,,,,,,
rSn.6_Sn.3,,,,,,
rSn.7_Sn.3,,,,,,
rSn.8_Sn.3,,,,,,
rSn.9_Sn.3,,,,,,
rSn.5_Sn.4,,,,,,
rSn.6_Sn.4,1,,,,,
rSn.7_Sn.4,1,,,,,
rSn.8_Sn.4,,,,,,
rSn.9_Sn.4,1,,,,,
rSn.6_Sn.5,,,,,,
rSn.7_Sn.5,,,,,,
rSn.8_Sn.5,,,,,,
rSn.9_Sn.5,,,,,,
rSn.7_Sn.6,1,,,,,
rSn.8_Sn.6,,,,,,
rSn.9_Sn.6,1,,,,,
rSn.8_Sn.7,,,,,,
rSn.9_Sn.7,1,,,,,
rSn.9_Sn.8,,,,,,
rBA275_A280_BA254,1,,,,,
rBA275_A290_BA254,,,,,,
rBA275_A295_BA254,,,,,,
rBA275_A350_BA254,1,,,,,
rBA275_A370_BA254,,,,,,
rBA275_A400_BA254,,,,,,
rBA280_A290_BA254,,,,,,
rBA280_A295_BA254,,,,,,
rBA280_A350_BA254,,,,,,
rBA280_A370_BA254,,,,,,
rBA280_A400_BA254,,,,,,
rBA290_A295_BA254,,,,,,
rBA290_A350_BA254,,,,,,
rBA290_A370_BA254,,,,,,
rBA290_A400_BA254,,,,,,
rBA295_A350_BA254,1,,,,,
rBA295_A370_BA254,,,,,,
rBA295_A400_BA254,,,,,,
rBA350_A370_BA254,,,,,,
rBA350_A400_BA254,,,,,,
rBA370_A400_BA254,,,,,,
rBS2.25_S1.25_BF,1,,,,,
rBS1.25_S3.25_BF,1,,,,,
rBS1.25_Mrange.25_BF,,,,,,
rBS1.25_Mrange.50_BF,,,,,,
rBS1.25_B_BF,,,,,,
rBS1.25_T_BF,1,,,,,
rBS1.25_TB_BF,,,,,,
rBS1.25_M_BF,1,,,,,
rBA_S1.25_BF,,,,,,
rBS1.25_N_BF,,,,,,
rBN2_S1.25_BF,,,,,,
rBS1.25_H2_BF,,,,,,
rBS1.25_W_BF,,,,,,
rBS1.25_S41_BF,,,,,,
rBS1.25_S42_BF,,,,,,
rBS1.25_S43_BF,,,,,,
rBS1.25_S44_BF,,,,,,
rBS1.25_S45_BF,,,,,,
rBS2.25_S3.25_BF,1,,,,,
rBS2.25_Mrange.25_BF,,,,,,
rBS2.25_Mrange.50_BF,,,,,,
rBS2.25_B_BF,,,,,,
rBS2.25_T_BF,,,,,,
rBS2.25_TB_BF,,,,,,
rBS2.25_M_BF,,,,,,
rBA_S2.25_BF,1,,,,,
rBS2.25_N_BF,,,,,,
rBN2_S2.25_BF,,,,,,
rBS2.25_H2_BF,,,,,,
rBS2.25_W_BF,,,,,,
rBS2.25_S41_BF,,,,,,
rBS2.25_S42_BF,,,,,,
rBS2.25_S43_BF,,,,,,
rBS2.25_S44_BF,,,,,,
rBS2.25_S45_BF,,,,,,
rBMrange.25_S3.25_BF,,,,,,
rBMrange.50_S3.25_BF,,,,,,
rBS3.25_B_BF,,,,,,
rBS3.25_T_BF,1,,,,,
rBS3.25_TB_BF,,,,,,
rBM_S3.25_BF,1,,,,,
rBA_S3.25_BF,,,,,,
rBN_S3.25_BF,,,,,,
rBN2_S3.25_BF,,,,,,
rBS3.25_H2_BF,,,,,,
rBS3.25_W_BF,,,,,,
rBS3.25_S41_BF,,,,,,
rBS42_S3.25_BF,,,,,,
rBS3.25_S43_BF,,,,,,
rBS44_S3.25_BF,,,,,,
rBS45_S3.25_BF,,,,,,
rBMrange.25_Mrange.50_BF,,,,,,
rBMrange.25_B_BF,,,,,,
rBMrange.25_T_BF,,,,,,
rBMrange.25_TB_BF,,,,,,
rBM_Mrange.25_BF,,,,,,
rBA_Mrange.25_BF,,,,,,
rBMrange.25_N_BF,,,,,,
rBN2_Mrange.25_BF,,,,,,
rBMrange.25_H2_BF,,,,,,
rBMrange.25_W_BF,,,,,,
rBMrange.25_S41_BF,,,,,,
rBMrange.25_S42_BF,,,,,,
rBMrange.25_S43_BF,,,,,,
rBS44_Mrange.25_BF,,,,,,
rBMrange.25_S45_BF,,,,,,
rBMrange.50_B_BF,,,,,,
rBMrange.50_T_BF,,,,,,
rBMrange.50_TB_BF,,,,,,
rBM_Mrange.50_BF,,,,,,
rBA_Mrange.50_BF,,,,,,
rBMrange.50_N_BF,,,,,,
rBN2_Mrange.50_BF,,,,,,
rBMrange.50_H2_BF,,,,,,
rBMrange.50_W_BF,,,,,,
rBMrange.50_S41_BF,,,,,,
rBMrange.50_S42_BF,,,,,,
rBMrange.50_S43_BF,,,,,,
rBS44_Mrange.50_BF,,,,,,
rBMrange.50_S45_BF,,,,,,
rBT_B_BF,,,,,,
rBTB_B_BF,,,,,,
rBM_B_BF,,,,,,
rBA_B_BF,,,,,,
rBN_B_BF,,,,,,
rBN2_B_BF,,,,,,
rBH2_B_BF,,,,,,
rBW_B_BF,,,,,,
rBS41_B_BF,,,,,,
rBS42_B_BF,,,,,,
rBS43_B_BF,,,,,,
rBS44_B_BF,,,,,,
rBS45_B_BF,,,,,,
rBT_TB_BF,,,,,,
rBM_T_BF,,,,,,
rBA_T_BF,,,,,,
rBN_T_BF,,,,,,
rBN2_T_BF,,,,,,
rBT_H2_BF,,,,,,
rBT_W_BF,,,,,,
rBT_S41_BF,,,,,,
rBS42_T_BF,,,,,,
rBT_S43_BF,,,,,,
rBS44_T_BF,,,,,,
rBS45_T_BF,,,,,,
rBM_TB_BF,,,,,,
rBA_TB_BF,,,,,,
rBN_TB_BF,,,,,,
rBN2_TB_BF,,,,,,
rBTB_H2_BF,,,,,,
rBTB_W_BF,,,,,,
rBTB_S41_BF,,,,,,
rBS42_TB_BF,,,,,,
rBTB_S43_BF,,,,,,
rBS44_TB_BF,,,,,,
rBS45_TB_BF,,,,,,
rBA_M_BF,,,,,,
rBM_N_BF,,,,,,
rBN2_M_BF,,,,,,
rBM_H2_BF,,,,,,
rBM_W_BF,,,,,,
rBM_S41_BF,,,,,,
rBM_S42_BF,,,,,,
rBM_S43_BF,,,,,,
rBS44_M_BF,,,,,,
rBM_S45_BF,,,,,,
rBA_N_BF,,,,,,
rBA_N2_BF,,,,,,
rBA_H2_BF,,,,,,
