eventNum,eventDate,Var1,Freq,State,EventGroup
MI8,10/3/2014 8:45,MI8,21,MI,M1
MI10,10/3/2014 14:59,MI10,1,MI,M1
MI14,10/3/2014 16:48,MI14,1,MI,M1
MI9,11/24/2014 6:31,MI9,22,MI,M2
MI7,4/9/2015 15:30,MI7,20,MI,M3
MI15,6/8/2015 13:45,MI15,12,MI,M4
MI11,6/8/2015 14:20,MI11,7,MI,M4
MI12,6/8/2015 14:30,MI12,3,MI,M4
MI1,9/21/2015 11:20,MI1,21,MI,M5
MI2,10/19/2015 13:40,MI2,21,MI,M6
MI3,10/28/2015 13:40,MI3,22,MI,M6
MI4,12/21/2015 14:45,MI4,24,MI,M7
MI5,3/24/2016 13:30,MI5,25,MI,M8
MI6,6/8/2016 13:45,MI6,26,MI,M9
NY7,9/16/2014 3:30,NY7,10,NY,N1
NY8,10/15/2014 17:29,NY8,7,NY,N1
NY10,4/20/2015 21:50,NY10,8,NY,N2
NY11,6/9/2015 14:45,NY11,2,NY,N3
NY9,6/9/2015 14:55,NY9,5,NY,N3
NY1,6/27/2015 19:15,NY1,19,NY,N3
NY2,8/11/2015 3:00,NY2,9,NY,N4
NY3,9/14/2015 15:00,NY3,21,NY,N4
NY4,9/29/2015 15:00,NY4,11,NY,N4
NY5,2/3/2016 13:20,NY5,22,NY,N5
NY6,6/9/2016 12:20,NY6,26,NY,N6
WI19,8/25/2014 17:30,WI19,21,WI,W1
WI20,9/10/2014 11:35,WI20,18,WI,W1
WI22,3/11/2015 18:06,WI22,16,WI,W2
WI24,3/11/2015 19:03,WI24,2,WI,W2
WI26,3/11/2015 20:40,WI26,1,WI,W2
WI25,4/9/2015 13:10,WI25,14,WI,W3
WI21,4/9/2015 14:10,WI21,5,WI,W3
WI1,6/12/2015 12:45,WI1,15,WI,W4
WI2,7/13/2015 11:42,WI2,14,WI,W4
WI4,8/10/2015 16:16,WI4,10,WI,W5
WI5,8/17/2015 15:30,WI5,15,WI,W5
WI7,8/29/2015 12:03,WI7,10,WI,W5
WI8,9/8/2015 14:57,WI8,18,WI,W5
WI12,11/17/2015 19:20,WI12,10,WI,W6
WI13,4/6/2016 9:40,WI13,13,WI,W7
WI14,5/3/2016 16:15,WI14,14,WI,W8
WI15,5/10/2016 15:47,WI15,18,WI,W8
WI17,6/7/2016 15:10,WI17,13,WI,W9
